web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||||||||||||
"1556766074-4308,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Kiko,Pretty good.,21-Jan-05,""Honestly people are silly who take the sad parts way too seriously in books. If they want happy parts every few minutes they SHOULD go an read Harry Potter. Those books actually bored me, i like scenes that arnt all happy and jolly. makes a book more intresting. Plus how these stories are put together makes them cute an enertaining."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_57?ie=UTF8&filterByStar=five_star&pageNumber=57&reviewerType=all_reviews"||||||||||||||||||||
"1556766099-4416,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Tara OBrien,The children enjoy living with him for a few days until,26-Mar-18,""The second book in the Series of Unfortunate Events, titled “The Reptile Room”, is an exciting and suspenseful story. This story is written by the extremely talented author, Lemony Snicket. This book is about the second unfortunate event that befalls the three Baudelaire children after the death of their parents. This book can be classified as a mystery novel, as well as an adventure. At the beginning of this story, the three children are transferred from the care of their previous, evil, guardian Count Olaf, and are brought into the care of another distant relative by the name of Uncle Monty. The three children can tell from the first moment of meeting Uncle Monty that he will be a much more loving and caring guardian than Count Olaf ever was. The children enjoy living with him for a few days until, Uncle Monty’s replacement arrives to aid him in his studies of reptiles. As soon as his new assistant arrives the children figure out that he not his assistant, but Count Olaf disguised as an intelligent scientist. The children persistently attempt to make his true identity known, but struggle to outsmart the devious Count Olaf, who’s ultimate goal is to steal the ridiculous fortune that the Baudelaire’s possess. I personally love the dramatic irony that Lemony Snicket uses throughout the story. It makes the story suspenseful and surprising to see how the Baudelaire children deal with the problems that they are faced with. The solutions that the children come up with for their various problems are unthinkable and incredibly intelligent for any kids that young to think of. Count Olaf always seems to be one step ahead of the children which can be frustrating for the reader, but the final bust that the children complete makes all that frustration extremely satisfying. This book is a great read, and I would recommend it for anyone looking for a great, thrilling story from the perspective of children. They think differently than adults would, so it is very interesting to see what kind of ideas they come up with. The three children make a great team, and I love seeing them work as a cohesive unit to thwart Count Olaf. I love this series, and you would be missing out if you did not pick up this book soon!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&filterByStar=five_star&pageNumber=68&reviewerType=all_reviews"||||||||||||||||||||
1556766011-4026|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kathy Perkins|Received excellent|31-Jan-15|Product as described.  Received excellent service|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&filterByStar=five_star&pageNumber=29&reviewerType=all_reviews||||||||||||
"1556766080-4344,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Andrew Brack,From me,19-Mar-15,""I think that this book had some great writing in it. I hope to read the next book"||||||||||||||||||||
||||||||||||||||||||
From||||||||||||||||||||
"Avery London Brack"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&filterByStar=five_star&pageNumber=60&reviewerType=all_reviews"||||||||||||||||||||
1556765982-3902|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Rose Ann Marr|Great Read|9-Nov-13|This was for my Granddaughter and she love it.  It a must read for any teen.  I should get a copy for myself.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews||||||||||||
"1556766064-4270,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Katrina Nelmes,I liked this one better than the first..,9-Jan-05,""I really liked this book. I started reading this series a short while ago and I can't wait to read the rest. I really liked the character of Uncle Monty, and I also have really started to enjoy Lemony Snicket's writing style."||||||||||||||||||||
||||||||||||||||||||
"I also liked how Count Olaf has become an even more despicable villian than before. Also, I thought that it was very amusing that Snicket spoils the fact that one of the characters is going to die before it actually happens. It made me smile."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&filterByStar=five_star&pageNumber=53&reviewerType=all_reviews"||||||||||||||||||||
"1556766074-4309,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Darlene Palmer,Books 1 & 2,6-Mar-04,""These two books were great! If you don't like happy endings like me then this is the book for you. Unfortunate event after unfortunate event makes these books so great. Each book just begins with bad things and ends with bad things. You think your life is bad, wait till you read these books. Lemony Snicket is a phenonemonal writer. He does an absolute awesome job in writing his books. The only annoying thing is that he defines words that I already know what they mean. His books are a very different way than any other book I've read. His style is unique! =)"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_57?ie=UTF8&filterByStar=five_star&pageNumber=57&reviewerType=all_reviews"||||||||||||||||||||
"1556766047-4194,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,felixthecat,Another consequence,1-May-11,""I believe one of the morals of this story is, be grateful for the parents you have. In a world were """"there is nothing to eat in the house"""" is too typically just code for """"there is nothing in the house I am in the mood for"""" this book could potentially offer a shift of perspective for young readers. The writer knows a lot about rhetorical analysis, so this book series might also be useful for kids to learn about the darker sides of communication, which will face them in different situations for the rest of their lives. The bright side of the story is that no matter how unreal the pain and suffering becomes in the lives of the Baudelaire children, they take care of one another and adamantly refuse to take things out on each other."||||||||||||||||||||
||||||||||||||||||||
This might not be the right story book for your kid| each one is unique and needs individual attention and care. This might be a good book to read along with your child| because many of life's more difficult issues will come into focus while reading it| it could be a chance to talk with your young reader about those issues.|||||||||||||||||
||||||||||||||||||||
"Let me know if this helps anyone. Morgan."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_45?ie=UTF8&filterByStar=five_star&pageNumber=45&reviewerType=all_reviews"||||||||||||||||||||
1556765977-3881|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|brian t|Five Stars|15-Mar-16|AAA|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews||||||||||||
1556766020-4068|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Zooey|Reptile room review|6-Mar-13|This book was great it was the type of book I enjoy the rating I'm giving it suits it well. Great job lemony snicket|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&filterByStar=five_star&pageNumber=33&reviewerType=all_reviews||||||||||||
"1556766047-4189,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,felixthecat,Another consequence,1-May-11,""I believe one of the morals of this story is, be grateful for the parents you have. In a world were """"there is nothing to eat in the house"""" is too typically just code for """"there is nothing in the house I am in the mood for"""" this book could potentially offer a shift of perspective for young readers. The writer knows a lot about rhetorical analysis, so this book series might also be useful for kids to learn about the darker sides of communication, which will face them in different situations for the rest of their lives. The bright side of the story is that no matter how unreal the pain and suffering becomes in the lives of the Baudelaire children, they take care of one another and adamantly refuse to take things out on each other."||||||||||||||||||||
||||||||||||||||||||
This might not be the right story book for your kid| each one is unique and needs individual attention and care. This might be a good book to read along with your child| because many of life's more difficult issues will come into focus while reading it| it could be a chance to talk with your young reader about those issues.|||||||||||||||||
||||||||||||||||||||
"Let me know if this helps anyone. Morgan."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_45?ie=UTF8&filterByStar=five_star&pageNumber=45&reviewerType=all_reviews"||||||||||||||||||||
1556765993-3954|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Stephano was count|11-May-17|Stephano was count Olaf as a disguise the orphanage was lead to paranoia worse then the bag begging part in the book|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=five_star&pageNumber=21&reviewerType=all_reviews||||||||||||
1556765988-3932|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Eves|Amazing|14-Jan-13|I LOVE THIS BOOK!  BUY IT OR ELSE YOUR MISSING OUT ON ONE OF THE MOST GREATEST BOOKS OF ALL TIMES|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=five_star&pageNumber=19&reviewerType=all_reviews||||||||||||
"1556766064-4266,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,I loved it! I think you and your kids will too!,11-Oct-03,""I think this book is an amazing book for people young and old. This book combines several different ideas and keeps younger children captivated through the entire book! I read this book before it was a hit and I adored it! There were jokes I found appropriate and funny for my kids, as well as some adult humor. It helped my kids with their vocabulary, though they did not relize it, which made it fun for them to learn. When I read this book to my kids they did not have to continuously have to ask what words meant. My children have re-read these books so many times they can hardly wait until the next volume comes out! My kids were never much readers but my 11 year old, 14 year old and even my 17 year old have all enjoyed reading this book. So I reccomend this book to kids of all ages, and even adults."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&filterByStar=five_star&pageNumber=53&reviewerType=all_reviews"||||||||||||||||||||
1556766026-4099|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|logan allen|Best book|25-Jan-13|It is one of the best books I read. I did not want to put it down. Best book ever|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&filterByStar=five_star&pageNumber=36&reviewerType=all_reviews||||||||||||
1556766020-4069|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Barbara Derketsch|Thank you... gave it to my 10 ...|1-Mar-15|Thank you...gave it to my 10 yr. old grandson..he is enjoying the books!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&filterByStar=five_star&pageNumber=33&reviewerType=all_reviews||||||||||||
1556765982-3903|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|energy101|Five Stars|6-Apr-15|Great reading for all ages. Purchases for 15 year old.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews||||||||||||
1556766088-4365|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Goody|7-Nov-13|I am writing this so that the book says 100 percent in the upper right corner because I finished it and I should get credit for doing so. Good book I like it|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&filterByStar=five_star&pageNumber=63&reviewerType=all_reviews||||||||||||
"1556765958-3789,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Brandi Mathis,""Books marked as """"used"""" condition- but were practically brand new! Excellent condition and worth the price"",4-Nov-16,Books were in perfect condition and shipped really fast! Awesome price.... well worth what I paid because my son really enjoyed reading these books,5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews"||||||||||||||||||||
1556766029-4106|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|GABI|Great|5-Mar-13|Oh wow! This book is GREAT Buy it trust me it Rocks love it love it best book ever made|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_37?ie=UTF8&filterByStar=five_star&pageNumber=37&reviewerType=all_reviews||||||||||||
1556765991-3935|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Yani|Five Stars|25-Jan-15|Little cousin loved it!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&filterByStar=five_star&pageNumber=20&reviewerType=all_reviews||||||||||||
"1556766088-4372,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Elena  Small,The Reptile Room : Thoroughly enjoyable,15-May-01,""Like the Harry Potter books, this book has no certain genre. There is :humor, mystery, and adventure all in one book that will keep you at the edge of your seat. With a colorful cast of characters, it is exteremely enjoyable. I recommend it to anyone!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&filterByStar=five_star&pageNumber=63&reviewerType=all_reviews"||||||||||||||||||||
"1556765986-3916,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,jules,Grandma J,2-Nov-12,""my grandchildren and I watched the movie and just and I was looking for the books my grandaughter's teacher was reading it in class,she was soooooooo delighted to get her own copy and in GREAT shape. Thank you so much"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews"||||||||||||||||||||
"1556766004-4001,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,edward sesma,The reptile room,26-Mar-13,""It make me want too read more"||||||||||||||||||||
||||||||||||||||||||
"Great book I love it I can't wait to read the next  book"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&filterByStar=five_star&pageNumber=26&reviewerType=all_reviews"||||||||||||||||||||
1556765982-3898|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jeffrey Waddell|Brilliant|2-May-14|An amazing story everyone should read! It's brilliant and even the Baudelaire children (including Sunny) think so too! Read and read!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews||||||||||||
1556766056-4231|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|amber|none breakable unfortunate cycle|30-May-05|after the bad beginning the baudelaires come to live with their uncle monty not really their uncle he just likes to be called that the baudelaires finally thought they would have a peacefull life with their uncle until he shows up count olaf... bad miserable things happen as the unfortuante cycle continues the baudelaires know they would never have a normal life until violet is old anough to have the baudelaire fortune this book contains a madman not stoping till he has the baudelaire fortune a very deadly viper and many reptiles you can find|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_49?ie=UTF8&filterByStar=five_star&pageNumber=49&reviewerType=all_reviews||||||||||||
1556766051-4209|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|J. Brown|I liked this one better than the first|1-Aug-17|I liked this one better than the first! Maybe because they at least had a nice family member to take them in...not sure. I do like how they make it a point to put definitions of big words in the story that will help the young readers know what they mean.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&filterByStar=five_star&pageNumber=47&reviewerType=all_reviews||||||||||||
1556766013-4043|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Erin holloway|review of book|2-Feb-15|I like the book they are full of mysteries. They reAlly put u on the edge of your seat.hope u read them|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&filterByStar=five_star&pageNumber=30&reviewerType=all_reviews||||||||||||
1556766015-4050|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|leah ingraham|The book|31-Mar-13|I really liked the book! I liked the reptile room especially! I can't wait to read the next book in the series!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&filterByStar=five_star&pageNumber=31&reviewerType=all_reviews||||||||||||
1556766033-4132|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Dominick Becker|Awesome|29-Sep-14|Best book! Really good plot and story. Read this book. Would not believe what happens at the end of the book|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&filterByStar=five_star&pageNumber=39&reviewerType=all_reviews||||||||||||
"1556766053-4218,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Paula L. Craig,This series gets more interesting as it goes,23-Dec-05,""I had a lot of fun reading this book.  This series keeps getting better as it goes along. As always, plausibility is thrown to the winds.  I was delighted to find out finally how it is that Olaf always knows where the Baudelaires are.  The Baudelaires are such a nice trio of kids, that it really makes you sad that they have to endure all these endless disasters.  In real life, though, those who have problems do seem to get."||||||||||||||||||||
||||||||||||||||||||
"This series is a fine antidote to the endless optimism of our society.  There are things that a """"can-do"""" attitude cannot accomplish.  I wish our politicians would realize that."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_48?ie=UTF8&filterByStar=five_star&pageNumber=48&reviewerType=all_reviews"||||||||||||||||||||
"1556766053-4222,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,nicole,Good Short Book,22-Feb-04,""The narration style in the books A Series of Unfortunate Events by Lemony Snicket is almost as unique and creative as the eccentric characters, the scary and interesting settings and the imaginative plots in the stories. The ninth book in the series, The Carnivorous Carnival, is no exception. Although it is hard to put a definite narration device on Lemony Snicket's writing style, it is closest to an non-participant, third person omniscient narration style. The narration in the story is from an unnamed character who is telling the story in flashback, where the events have already happened but no one (not the other characters in the story) knows the outcome except for the author, and even he is discovering events in a separate plot involving his beloved Beatrice as the series goes on. In fact, one of the major reasons that the narrator is investigating and telling the story of the Baudelaire children is in relation to a tragic happening to his Beatrice. In other books in the series, Snicket will give away key plot points to the audience (example: he told the reader that one of the secondary characters was going to be killed before the book's end, which is a very common thing in Snicket's morbid novels). Snicket's intriguing writing style helped to transport the audience into the world of the novels, which was a very complex and overwhelming place for the reader and the character both. In spite of the chaotic narration style, the books make you want to keep reading them, leaving you anxiously awaiting the next book in the series once you're done."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_48?ie=UTF8&filterByStar=five_star&pageNumber=48&reviewerType=all_reviews"||||||||||||||||||||
"1556765960-3795,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,john e mayer,""good reads, good product"",16-Aug-18,""Packaged well, arrived on time, my daughter loves the series, will be buying the next set from here"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews"||||||||||||||||||||
"1556766051-4205,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Alicia,Wonderful writing.,11-Nov-13,""The writing style was absolutely AMAZING. I LOVE the way Snicket writes. It makes it worth reading what can be considered children's books over and over. While the characters were a bit lacking, the plot is definitely worth sticking with it and I can't wait to finish the series. I don't want it to ever end. Would I read more by Snicket? Of course. Already got tons of his books lined up. Would I recommend this book to others? Absolutely, to everyone."||||||||||||||||||||
||||||||||||||||||||
See the full review on my blog| Awesome Book Assessment:|||||||||||||||||||
"[...]"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&filterByStar=five_star&pageNumber=47&reviewerType=all_reviews"||||||||||||||||||||
"1556766006-4010,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Brianna Thompson,Brianna Thompson,14-Mar-13,""That book was awesome"||||||||||||||||||||
What I like about is that the adults found out that Shepon was lying who he was so that it I like about the story||||||||||||||||||||
||||||||||||||||||||
" The author did the best story ever love it"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&filterByStar=five_star&pageNumber=27&reviewerType=all_reviews"||||||||||||||||||||
"1556766006-4011,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,Good book,21-Feb-14,""it is a good book for many reasons but in this book it will trick you into thinking Olaf  will win,but he doesn't  :P"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&filterByStar=five_star&pageNumber=27&reviewerType=all_reviews"||||||||||||||||||||
1556765986-3915|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Five Stars|8-Jun-16|My granddaughter's favorite books this year.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews||||||||||||
