web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||||
"1556765854-3660,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Josh Mauthe,""The formula shatters, and the series just gets better"",14-Sep-13,""There's a lot to enjoy about The Hostile Hospital, which finds the Lemony Snicket books diverting massively from the formula that's sustained the series so far - and, in doing so, gives the whole thing a refreshed and exciting feel. You could start with the fact that this is the first true """"guardian-less"""" book of the series; for the first time, the Baudelaire orphans are truly on their own, and as they navigate a hospital, investigate historical records, and try to evade the notice of Olaf and his compatriots, they can rely on no one but themselves. But what's more interesting about The Hostile Hospital is the way that it begins blurring lines that become so critical to the rest of the series. By the end of the book, the line between heroic actions and villainous ones has become a lot more ambiguous than it once was, as the Baudelaires start to realize that many of their actions are exactly like those taken by Olaf. That's heady stuff for a kid's series, and the fact that that theme only develops more as the series develops is just one of the things that made me love it in the first place. Of course, Hostile Hospital is still just a typically fantastic Snicket book, too, with shocking plot twists, new information, gleefully dark humor, and Snicket's usual delightful wordplay (what other book would spend multiple pages setting up a really dumb pun?). In other words, it's a standout even amongst the other great books in the series, and really sets up the books for the second half of the saga, where boundaries, rules, and answers become far more elusive and far more complicated."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews"||||||||||||
"1556765865-3707,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,OMG! THE BEST BOOK YET!,8-Sep-01,""THIS IS THE BEST BOOK IN THE SERIES (of unfortunate events). it has everything any reader (in their right mind) would ever want! it has humor, great dialogue, the perfect plot, and an incredibly unlikable villain- Count Olaf! The Baudelair Orphans create a witty and unpredictable book that makes Heimlich Hospital seem like a real place with a real Library of Records. Olaf (mattathias) is a villain you can't help but hate more than...whatever you really hate....! Anyway..I totally say that this book has to be better than the other seven (i've read the other ones like 10 times each)! The other one I highly recommend is number six- The Ersatz Elevator!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"||||||||||||
"1556765872-3738,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Monica McAllister,The hostile hospital,26-May-13,""This book just is great!!!!!!!I never really wanted to be an author of a book, butt it has been a favorite zest because of the hostile hospital"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"||||||||||||
"1556765856-3672,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Movie Nerd,When things get a lot more unpredictable,23-Jul-06,""Sure you know that Olaf will show up in every book but you never know when. You don't know how they'll defeat him after he shows up either. Here things get a lot more darker with the 3 kids still wanted for Olaf's murder. So they have to find a place to hide. They first join a goofy group of hospital volunteers that think cheering up people with annoying songs cures them. They then volunteer at the library where they find that there's files on their parents. Of course they soon find out that Olaf is also trying to get those files. Violet also finds herself in Olaf's clutches where they plan a deadly operation. Can Klaus and Sunny save their sister and find a way to clear their names as well ?"||||||||||||
||||||||||||
"  This is one of the most clever ones that I've read so far. With brilliant twists and some darkly funny moments as always. We get to hear what Olaf's troupe say amongst themselves when they make hideous plans. The book also leaves you with a great cliffhanger ending that makes you want to start reading the 9th book right away. If you're addicted to Harry Potter, these books are just as addicting and well written."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews"||||||||||||
1556765870-3732|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|An 11-year old reader|good book!|9-Nov-01|this series of books is next best books to Harry Potter.  i don't like to read that much but when i read a good book i can't stop. Lemony Snicket writes this story about three orphans who are wanted for their fortune by an evil man Named Count Olaf. these books are great chapter books. and a great family story.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews||||
1556765852-3653|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Best book|27-Mar-13|Best book by lemony snicket so far I've read all of his series of the unfortunate events up to hostile hospital|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||||
1556765870-3735|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Carter|Awesome book.|28-Dec-12|Anyone would like this book if they don't cry when anything bad happens. The kids have great adventures if they are a bit sad.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews||||
1556765845-3617|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Five Stars|17-Aug-15|love these books!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews||||
"1556765856-3674,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Orrin C. Judd,a sour joy,24-Jan-02,""If you are interested in stories with happy endings, you would be better off reading some other book. In this book, not only is there no"||||||||||||
  happy ending| there is no happy beginning and very few happy things in the middle. This is because not very many happy things|||||||||||
  happened in the lives of the three Baudelaire youngsters. Violet| Klaus| and Sunny Baudelaire were intelligent children| and they were|||||||||
  charming and resourceful| and had pleasant facial features| but they were extremely unlucky| and most everything that happened to them|||||||||
  was rife with misfortune| misery and despair. I'm sorry to tell you this| but that's how the story goes.||||||||||
Thus begins Book 1| A Bad Beginning| of Lemony Snicket's immensely popular series of dour children's books| A Series of Unfortunate|||||||||
Events.  Of course| I only know that because I found an excerpt on-line.  The rotten little kids in our town have had every installment in the|||||||||||
series checked out of our library every day for the past year.  But the other day when the K-Mart one-hour photolab took about four hours| I|||||||||||
picked up and read enough of volume 8| The Hostile Hospital| that I more-or-less had to buy it.  So now I see why they're so popular.||||||||||
You'll often see Lemony Snicket compared to Roald Dahl or Edward Gorey because the books have such an edge of dark humor to them.  But||||||||||||
more than anything| they are reminiscent of The Phantom Tollbooth or the works of Lewis Carroll| for the author's great love and witty use of||||||||||
language.  Many of the in-jokes will go over the heads of children| but serve to make the books more appealing to adults--for instance| the||||||||||
children's names : Klaus and Sunny (as in von Bulow).  But the central theme of the book is that it is the children's skills and learning that will||||||||||||
enable them to escape from dire predicaments :||||||||||||
  When you read as many books as Klaus Baudelaire| you are going to learn a great deal of information that might not be useful|||||||||||
  for a long time.  You might read a book that would teach you about the exploration of outer space| even if you do not become|||||||||||
  an astronaut until you are eighty years old.  You might read a book about how to perform tricks on ice skates| and then not be|||||||||||
  forced to perform these tricks for a few weeks.  You might read a book on how to have a successful marriage| when the only|||||||||||
  woman you will ever love has married someone else and then perished one terrible afternoon.  But although Klaus had read books||||||||||||
  on outer-space exploration| ice-skating tricks| and good marriage methods| and not yet found much use for this information|||||||||
  he had learned a great deal of information that was about to become very useful indeed.||||||||||||
It's become commonplace to say that JK Rowling has gotten kids to read again| but the Lemony Snicket books go one step farther and|||||||||||
encourage kids to read| to learn| to expand their vocabularies| to value knowledge and use it to solve problems.|||||||||
Add to this the fact that the books are packaged beautifully--they even feel good in your hands--with excellent illustrations by Brett Helquist||||||||||||
and you've got a series that belongs on every kid's bookshelf.  Although| if the local library's any indicator| they'll never actually be there when||||||||||
you are looking for them.||||||||||||
"GRADE : A (for this installment, A+ for the series)"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews"||||||||||||
"1556765839-3593,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer- DL,The best out of all of them,7-Apr-15,""I really liked the book especially the end, and I totally recommend it if you are looking for something different. But remember to start from the beginning if you haven't read the Lemony Snicket series of unfortunate events."",5.0 out of 5 stars,,"||||||||||||
1556765852-3650|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Cynthia M. Ranson|Awesome|25-Jan-13|I could be never put the book down. It was amazing and full of wonder and excitement. Read this book.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||||
"1556765867-3716,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,jaina_solo,The most sickening book I've ever read....,17-Sep-01,""....but I mean that in a good way, of course! As usual, the author tells a very grim story, but his dry humor keeps it from being utterly unbearable. I love how Sunny is starting to say more real words. I can't wait to read the next book."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||||
